x1;x2;xyz;age
16;P;FZXO;58
42;Q;VHDV;60
9;W;WMVO;61
19;X;PYYD;76
42;Q;NPSU;63
38;G;YOMI;67
39;R;SGDL;65
17;U;WFHL;26
83;B;YJHD;56
71;I;TYSE;55
35;H;YBWW;19
23;W;YKKB;75
45;S;GHXT;50
90;W;ASLX;60
58;E;DRKI;71
98;J;RGQB;19
36;F;YYNZ;38
30;Z;WMEU;42
56;T;NCRT;22
83;M;TMZS;48
84;V;LOKP;63
22;F;YKCC;42
96;B;JHRY;55
20;U;OBHK;80
22;J;VLOS;61
18;T;KRQB;42
42;F;QEPD;57
76;S;ZIAM;25
93;T;BADG;62
39;X;WPEY;26
23;B;FCVN;77
82;L;ZTGC;60
18;T;ZBZR;50
15;H;AXAO;27
27;K;XMBD;48
18;D;MVJI;55
94;K;GVWD;59
70;F;FSGI;70
86;P;MZRD;44
59;T;PCGL;69
35;X;ZABI;40
93;A;RQRV;25
62;U;KIAD;27
17;T;DZTX;66
37;J;OFCZ;64
4;I;KSEM;62
22;Z;YNUK;78
44;Y;YFUC;59
53;F;MHRR;40
44;K;TJLY;80
73;R;FUOV;40
44;T;ILRQ;78
41;S;RDSW;28
87;M;HGAD;64
83;O;ZUZX;60
89;O;EBSG;62
76;I;AKTW;71
2;R;BRYW;74
52;J;OXGY;31
48;R;TFRX;61
59;E;NUPZ;40
58;U;IFLR;70
17;Z;DDVA;52
40;T;MKDU;67
28;Z;RGDQ;66
63;H;OBAJ;40
62;T;PSBP;47
25;D;VIUL;80
47;F;NNAG;69
15;J;IHFO;65
70;H;NLNN;69
43;B;WYOM;23
43;V;LZZB;52
66;C;NOZH;78
78;N;XMMJ;53
3;L;KNAJ;39
70;A;ZSQP;29
16;E;WLCR;26
23;R;GEDP;65
86;E;KJOI;61
9;L;AWTR;33
81;U;XMPG;78
87;H;LWUV;60
77;J;HERY;49
9;A;RZPD;46
88;O;QMJU;42
23;Y;CIZJ;55
25;U;UVUR;60
39;F;TJYS;78
46;X;LPIN;21
53;T;VNCG;69
3;B;DMGD;21
100;D;DPNA;30
31;P;BDJG;60
69;Q;HYND;58
55;E;OKJH;22
2;P;TDEY;65
41;L;JCKJ;65
4;L;LOSD;64
84;J;SVVJ;51
63;F;WINH;61
65;V;CJYC;81
29;N;SJCM;39
63;O;HHRN;42
92;W;NIKD;52
29;B;NRMW;43
22;J;TGZM;67
84;W;KZSG;33
63;E;XASZ;56
89;A;TCAQ;35
35;Q;QTWK;44
29;F;RQZK;61
51;G;GETY;54
53;V;RGOX;53
70;R;ZSXG;70
81;I;VNHL;39
62;F;YWSQ;39
5;B;TNIQ;41
8;V;ZTNU;20
22;W;NLVZ;22
72;H;VIAH;19
96;J;DAMI;73
51;I;MORP;70
27;M;YTHG;71
80;Y;HJNM;62
41;W;KXQS;58
76;L;XTDT;21
79;J;JVUI;26
71;B;NOKG;36
78;L;AAVJ;29
100;K;PLGS;27
6;N;RJRL;56
8;C;HDPL;50
12;E;FAEG;30
81;Y;EFXA;58
11;J;OOLW;28
74;O;RXKM;37
33;P;QSVN;35
16;A;QUMF;75
95;U;SAJP;76
92;J;JUJK;73
78;D;SBSP;20
18;Y;EICK;22
9;K;QKZZ;78
49;F;ARRJ;19
39;W;CQUQ;37
56;O;HEGO;56
20;D;FLDB;64
100;U;UCCB;77
29;H;WCBP;59
66;Y;QEDW;72
21;O;PAAY;78
32;K;CYQR;68
59;R;LGKQ;48
77;E;PKDX;53
93;R;GDFP;31
7;U;MUEO;78
100;G;TNZG;43
70;N;YCKP;66
79;X;AZUK;42
32;U;JJWN;57
65;B;JHHF;55
83;K;CRFU;79
55;S;ZWPL;38
15;P;CQXL;57
88;Q;XJFC;38
48;X;SQDP;25
76;N;ENCN;38
82;J;KFOV;42
94;E;TFJR;79
28;T;EEJB;54
77;E;XFUR;64
60;T;KDSQ;60
2;W;YLMB;32
51;Y;KVFB;43
9;T;BGKK;62
84;W;WWOC;26
81;Y;VJBY;57
56;U;KAFK;50
91;S;CJNX;56
40;F;ALCA;49
84;J;ZLBC;30
21;E;WOZK;54
56;U;BJSU;81
80;F;WMSQ;18
75;Q;PDWJ;22
85;Z;LYSG;51
42;T;TXCF;44
55;S;KBTQ;62
5;E;QNOD;67
28;U;ZQFE;37
89;R;JQYU;66
21;H;JEID;59
65;I;JGYZ;32
23;G;GYFG;25
95;C;NFAD;22
70;L;NWKI;78
92;G;XHZP;77
97;O;UAHO;27
74;X;COWD;19
80;O;BEYT;75
56;Z;GNKK;71
57;Z;BYZP;20
63;Q;YJAD;64
99;R;LCGJ;65
36;E;IGRD;25
68;R;ELXP;75
